Código Ámbito,Ámbito,Código área (FAO),Área,Código Elemento,Elemento,Código Producto (FAO),Producto,Código año,Año,Unidad,Valor
"QCL","Cultivos y productos de ganadería","203","España","5510","Producción","281","Aceite, cártamo, alazor","2016","2016","toneladas","1191"
"QCL","Cultivos y productos de ganadería","203","España","5510","Producción","281","Aceite, cártamo, alazor","2017","2017","toneladas","1367"
"QCL","Cultivos y productos de ganadería","203","España","5510","Producción","271","Aceite, colza","2000","2000","toneladas","22800"
"QCL","Cultivos y productos de ganadería","203","España","5510","Producción","271","Aceite, colza","2001","2001","toneladas","17500"
"QCL","Cultivos y productos de ganadería","203","España","5510","Producción","271","Aceite, colza","2002","2002","toneladas","11100"
"QCL","Cultivos y productos de ganadería","203","España","5510","Producción","271","Aceite, colza","2003","2003","toneladas","9600"
"QCL","Cultivos y productos de ganadería","203","España","5510","Producción","271","Aceite, colza","2004","2004","toneladas","19400"
"QCL","Cultivos y productos de ganadería","203","España","5510","Producción","271","Aceite, colza","2005","2005","toneladas","6300"
"QCL","Cultivos y productos de ganadería","203","España","5510","Producción","271","Aceite, colza","2006","2006","toneladas","34300"
"QCL","Cultivos y productos de ganadería","203","España","5510","Producción","271","Aceite, colza","2007","2007","toneladas","28700"
"QCL","Cultivos y productos de ganadería","203","España","5510","Producción","271","Aceite, colza","2008","2008","toneladas","37300"
"QCL","Cultivos y productos de ganadería","203","España","5510","Producción","271","Aceite, colza","2009","2009","toneladas","42600"
"QCL","Cultivos y productos de ganadería","203","España","5510","Producción","271","Aceite, colza","2010","2010","toneladas","45000"
"QCL","Cultivos y productos de ganadería","203","España","5510","Producción","271","Aceite, colza","2011","2011","toneladas","34500"
"QCL","Cultivos y productos de ganadería","203","España","5510","Producción","271","Aceite, colza","2012","2012","toneladas","36300"
"QCL","Cultivos y productos de ganadería","203","España","5510","Producción","271","Aceite, colza","2013","2013","toneladas","36343"
"QCL","Cultivos y productos de ganadería","203","España","5510","Producción","271","Aceite, colza","2014","2014","toneladas","40922"
"QCL","Cultivos y productos de ganadería","203","España","5510","Producción","271","Aceite, colza","2015","2015","toneladas","44400"
"QCL","Cultivos y productos de ganadería","203","España","5510","Producción","271","Aceite, colza","2016","2016","toneladas","51000"
"QCL","Cultivos y productos de ganadería","203","España","5510","Producción","271","Aceite, colza","2017","2017","toneladas","57500"
"QCL","Cultivos y productos de ganadería","203","España","5510","Producción","271","Aceite, colza","2018","2018","toneladas","62700"
"QCL","Cultivos y productos de ganadería","203","España","5510","Producción","271","Aceite, colza","2019","2019","toneladas","66000"
"QCL","Cultivos y productos de ganadería","203","España","5510","Producción","252","Aceite, copra","2000","2000","toneladas","31"
"QCL","Cultivos y productos de ganadería","203","España","5510","Producción","252","Aceite, copra","2001","2001","toneladas","13"
"QCL","Cultivos y productos de ganadería","203","España","5510","Producción","252","Aceite, copra","2002","2002","toneladas","1"
"QCL","Cultivos y productos de ganadería","203","España","5510","Producción","252","Aceite, copra","2003","2003","toneladas","0"
"QCL","Cultivos y productos de ganadería","203","España","5510","Producción","252","Aceite, copra","2004","2004","toneladas","0"
"QCL","Cultivos y productos de ganadería","203","España","5510","Producción","252","Aceite, copra","2005","2005","toneladas","0"
"QCL","Cultivos y productos de ganadería","203","España","5510","Producción","252","Aceite, copra","2006","2006","toneladas","0"
"QCL","Cultivos y productos de ganadería","203","España","5510","Producción","252","Aceite, copra","2007","2007","toneladas","0"
