Código Ámbito,Ámbito,Código área (FAO),Área,Código Elemento,Elemento,Código Producto (FAO),Producto,Código año,Año,Unidad,Valor
"QCL","Cultivos y productos de ganadería","203","España","5510","Producción","1097","Carne, caballo","2001","2001","toneladas","7004"
"QCL","Cultivos y productos de ganadería","203","España","5510","Producción","1097","Carne, caballo","2002","2002","toneladas","5747"
"QCL","Cultivos y productos de ganadería","203","España","5510","Producción","1097","Carne, caballo","2003","2003","toneladas","4777"
"QCL","Cultivos y productos de ganadería","203","España","5510","Producción","1097","Carne, caballo","2004","2004","toneladas","5001"
"QCL","Cultivos y productos de ganadería","203","España","5510","Producción","1097","Carne, caballo","2005","2005","toneladas","4711"
"QCL","Cultivos y productos de ganadería","203","España","5510","Producción","1097","Carne, caballo","2006","2006","toneladas","4974"
"QCL","Cultivos y productos de ganadería","203","España","5510","Producción","1097","Carne, caballo","2007","2007","toneladas","4990"
"QCL","Cultivos y productos de ganadería","203","España","5510","Producción","1097","Carne, caballo","2008","2008","toneladas","6303"
"QCL","Cultivos y productos de ganadería","203","España","5510","Producción","1097","Carne, caballo","2009","2009","toneladas","6366"
"QCL","Cultivos y productos de ganadería","203","España","5510","Producción","1097","Carne, caballo","2010","2010","toneladas","7111"
"QCL","Cultivos y productos de ganadería","203","España","5510","Producción","1097","Carne, caballo","2011","2011","toneladas","11265"
"QCL","Cultivos y productos de ganadería","203","España","5510","Producción","1097","Carne, caballo","2012","2012","toneladas","15606"
"QCL","Cultivos y productos de ganadería","203","España","5510","Producción","1097","Carne, caballo","2013","2013","toneladas","11668"
"QCL","Cultivos y productos de ganadería","203","España","5510","Producción","1097","Carne, caballo","2014","2014","toneladas","11530"
"QCL","Cultivos y productos de ganadería","203","España","5510","Producción","1097","Carne, caballo","2015","2015","toneladas","12940"
"QCL","Cultivos y productos de ganadería","203","España","5510","Producción","1097","Carne, caballo","2016","2016","toneladas","13088"
"QCL","Cultivos y productos de ganadería","203","España","5510","Producción","1097","Carne, caballo","2017","2017","toneladas","11034"
"QCL","Cultivos y productos de ganadería","203","España","5510","Producción","1097","Carne, caballo","2018","2018","toneladas","10194"
"QCL","Cultivos y productos de ganadería","203","España","5510","Producción","1097","Carne, caballo","2019","2019","toneladas","9632"
"QCL","Cultivos y productos de ganadería","203","España","5510","Producción","1017","Carne, caprino","2000","2000","toneladas","16488"
"QCL","Cultivos y productos de ganadería","203","España","5510","Producción","1017","Carne, caprino","2001","2001","toneladas","15369"
"QCL","Cultivos y productos de ganadería","203","España","5510","Producción","1017","Carne, caprino","2002","2002","toneladas","15072"
"QCL","Cultivos y productos de ganadería","203","España","5510","Producción","1017","Carne, caprino","2003","2003","toneladas","14240"
"QCL","Cultivos y productos de ganadería","203","España","5510","Producción","1017","Carne, caprino","2004","2004","toneladas","13373"
"QCL","Cultivos y productos de ganadería","203","España","5510","Producción","1017","Carne, caprino","2005","2005","toneladas","13622"
"QCL","Cultivos y productos de ganadería","203","España","5510","Producción","1017","Carne, caprino","2006","2006","toneladas","11690"
"QCL","Cultivos y productos de ganadería","203","España","5510","Producción","1017","Carne, caprino","2007","2007","toneladas","10446"
"QCL","Cultivos y productos de ganadería","203","España","5510","Producción","1017","Carne, caprino","2008","2008","toneladas","9253"
"QCL","Cultivos y productos de ganadería","203","España","5510","Producción","1017","Carne, caprino","2009","2009","toneladas","8830"
"QCL","Cultivos y productos de ganadería","203","España","5510","Producción","1017","Carne, caprino","2010","2010","toneladas","10618"
"QCL","Cultivos y productos de ganadería","203","España","5510","Producción","1017","Carne, caprino","2011","2011","toneladas","11142"
"QCL","Cultivos y productos de ganadería","203","España","5510","Producción","1017","Carne, caprino","2012","2012","toneladas","9696"
"QCL","Cultivos y productos de ganadería","203","España","5510","Producción","1017","Carne, caprino","2013","2013","toneladas","8940"
"QCL","Cultivos y productos de ganadería","203","España","5510","Producción","1017","Carne, caprino","2014","2014","toneladas","8622"
"QCL","Cultivos y productos de ganadería","203","España","5510","Producción","1017","Carne, caprino","2015","2015","toneladas","9120"
"QCL","Cultivos y productos de ganadería","203","España","5510","Producción","1017","Carne, caprino","2016","2016","toneladas","9904"
"QCL","Cultivos y productos de ganadería","203","España","5510","Producción","1017","Carne, caprino","2017","2017","toneladas","10713"
"QCL","Cultivos y productos de ganadería","203","España","5510","Producción","1017","Carne, caprino","2018","2018","toneladas","10970"
"QCL","Cultivos y productos de ganadería","203","España","5510","Producción","1017","Carne, caprino","2019","2019","toneladas","10420"
"QCL","Cultivos y productos de ganadería","203","España","5510","Producción","1017","Carne, caprino","2020","2020","toneladas","10150"
"QCL","Cultivos y productos de ganadería","203","España","5510","Producción","1163","Carne, caza","2000","2000","toneladas","6820"
"QCL","Cultivos y productos de ganadería","203","España","5510","Producción","1163","Carne, caza","2001","2001","toneladas","6814"
"QCL","Cultivos y productos de ganadería","203","España","5510","Producción","1163","Carne, caza","2002","2002","toneladas","6830"
"QCL","Cultivos y productos de ganadería","203","España","5510","Producción","1163","Carne, caza","2003","2003","toneladas","6873"
"QCL","Cultivos y productos de ganadería","203","España","5510","Producción","1163","Carne, caza","2004","2004","toneladas","6913"
"QCL","Cultivos y productos de ganadería","203","España","5510","Producción","1163","Carne, caza","2005","2005","toneladas","7061"
"QCL","Cultivos y productos de ganadería","203","España","5510","Producción","1163","Carne, caza","2006","2006","toneladas","7000"
"QCL","Cultivos y productos de ganadería","203","España","5510","Producción","1163","Carne, caza","2007","2007","toneladas","7500"
"QCL","Cultivos y productos de ganadería","203","España","5510","Producción","1163","Carne, caza","2008","2008","toneladas","7448"
"QCL","Cultivos y productos de ganadería","203","España","5510","Producción","1163","Carne, caza","2009","2009","toneladas","7372"
"QCL","Cultivos y productos de ganadería","203","España","5510","Producción","1163","Carne, caza","2010","2010","toneladas","7250"
"QCL","Cultivos y productos de ganadería","203","España","5510","Producción","1163","Carne, caza","2011","2011","toneladas","7200"
"QCL","Cultivos y productos de ganadería","203","España","5510","Producción","1163","Carne, caza","2012","2012","toneladas","7200"
"QCL","Cultivos y productos de ganadería","203","España","5510","Producción","1163","Carne, caza","2013","2013","toneladas","7200"
"QCL","Cultivos y productos de ganadería","203","España","5510","Producción","1163","Carne, caza","2014","2014","toneladas","7053"
"QCL","Cultivos y productos de ganadería","203","España","5510","Producción","1163","Carne, caza","2015","2015","toneladas","6801"
"QCL","Cultivos y productos de ganadería","203","España","5510","Producción","1163","Carne, caza","2016","2016","toneladas","6819"
"QCL","Cultivos y productos de ganadería","203","España","5510","Producción","1163","Carne, caza","2017","2017","toneladas","6786"
"QCL","Cultivos y productos de ganadería","203","España","5510","Producción","1163","Carne, caza","2018","2018","toneladas",""
"QCL","Cultivos y productos de ganadería","203","España","5510","Producción","1035","Carne, cerdo","2000","2000","toneladas","2904615"
"QCL","Cultivos y productos de ganadería","203","España","5510","Producción","1035","Carne, cerdo","2001","2001","toneladas","2989146"
"QCL","Cultivos y productos de ganadería","203","España","5510","Producción","1035","Carne, cerdo","2002","2002","toneladas","3070116"
"QCL","Cultivos y productos de ganadería","203","España","5510","Producción","1035","Carne, cerdo","2003","2003","toneladas","3189508"
"QCL","Cultivos y productos de ganadería","203","España","5510","Producción","1035","Carne, cerdo","2004","2004","toneladas","3076120"
"QCL","Cultivos y productos de ganadería","203","España","5510","Producción","1035","Carne, cerdo","2005","2005","toneladas","3168039"
"QCL","Cultivos y productos de ganadería","203","España","5510","Producción","1035","Carne, cerdo","2006","2006","toneladas","3235241"
"QCL","Cultivos y productos de ganadería","203","España","5510","Producción","1035","Carne, cerdo","2007","2007","toneladas","3439442"
"QCL","Cultivos y productos de ganadería","203","España","5510","Producción","1035","Carne, cerdo","2008","2008","toneladas","3484363"
"QCL","Cultivos y productos de ganadería","203","España","5510","Producción","1035","Carne, cerdo","2009","2009","toneladas","3290571"
"QCL","Cultivos y productos de ganadería","203","España","5510","Producción","1035","Carne, cerdo","2010","2010","toneladas","3368921"
"QCL","Cultivos y productos de ganadería","203","España","5510","Producción","1035","Carne, cerdo","2011","2011","toneladas","3469345"
"QCL","Cultivos y productos de ganadería","203","España","5510","Producción","1035","Carne, cerdo","2012","2012","toneladas","3466323"
"QCL","Cultivos y productos de ganadería","203","España","5510","Producción","1035","Carne, cerdo","2013","2013","toneladas","3431214"
