"C?digo Grupo de Productos","Grupo de Productos","C?digo Producto","Producto","Coeficiente","C?digo HS","C?digo HS07","C?digo HS12","C?digo CPC"
"1714","Cultivos Primarios","821","Fibras, cultivos nep","1","","530500","530500","01929.90"
"QC","Cultivos Primarios","821","Fibras, cultivos nep","1","","530500","530500","01929.90"
"1714","Cultivos Primarios","547","Frambuesas","1","","081020","081020","01353.01"
"QC","Cultivos Primarios","547","Frambuesas","1","","081020","081020","01353.01"
"1714","Cultivos Primarios","544","Fresas","1","","081010","081010","01354"
"QC","Cultivos Primarios","544","Fresas","1","","081010","081010","01354"
"1714","Cultivos Primarios","176","Frijoles, secos","1","","071331, 071332, 071333, 071339","071331, 071332, 071333, 071339","01701"
"QC","Cultivos Primarios","176","Frijoles, secos","1","","071331, 071332, 071333, 071339","071331, 071332, 071333, 071339","01701"
"1714","Cultivos Primarios","512","Fruta citrica nep","1","","080590","080590","01329"
"QC","Cultivos Primarios","512","Fruta citrica nep","1","","080590","080590","01329"
"1714","Cultivos Primarios","541","Fruta, drupas nep","1","","081090","081090","01349.20"
"QC","Cultivos Primarios","541","Fruta, drupas nep","1","","081090","081090","01349.20"
"1714","Cultivos Primarios","619","Fruta, fresca nep","1","","081090","081090","01359.90"
"QC","Cultivos Primarios","619","Fruta, fresca nep","1","","081090","081090","01359.90"
"1714","Cultivos Primarios","603","Fruta, tropical (fresca) nep","1","","080450, 081060, 081090","080450, 081060, 081090","01319"
"QC","Cultivos Primarios","603","Fruta, tropical (fresca) nep","1","","080450, 081060, 081090","080450, 081060, 081090","01319"
"QC","Cultivos Primarios","1738","Frutas Primaria","1","","","","F1738"
"1714","Cultivos Primarios","542","Frutas, pom?ceas nep","1","","081090","081090","01349.10"
"QC","Cultivos Primarios","542","Frutas, pom?ceas nep","1","","081090","081090","01349.10"
"1714","Cultivos Primarios","191","Garbanzos","1","","071320","071320","01703"
"QC","Cultivos Primarios","191","Garbanzos","1","","071320","071320","01703"
"1714","Cultivos Primarios","839","Gomas naturales","1","","400130","400130","03211"
"QC","Cultivos Primarios","839","Gomas naturales","1","","400130","400130","03211"
"1714","Cultivos Primarios","430","Gombo","1","","070990","070999","01239.01"
"QC","Cultivos Primarios","430","Gombo","1","","070990","070999","01239.01"
"1714","Cultivos Primarios","550","Grosellas","1","","081090","081030","01351.01"
"QC","Cultivos Primarios","550","Grosellas","1","","081090","081030","01351.01"
"1714","Cultivos Primarios","197","Guandu","1","","071390","071360","01707"
"QC","Cultivos Primarios","197","Guandu","1","","071390","071360","01707"
"1714","Cultivos Primarios","530","Guindas","1","","080920","080921","01344.01"
"QC","Cultivos Primarios","530","Guindas","1","","080920","080921","01344.01"
"1714","Cultivos Primarios","187","Guisantes, secos","1","","071310","071310","01705"
"QC","Cultivos Primarios","187","Guisantes, secos","1","","071310","071310","01705"
"1714","Cultivos Primarios","417","Guisantes, verdes","1","","070810","070810","01242"
"QC","Cultivos Primarios","417","Guisantes, verdes","1","","070810","070810","01242"
"1714","Cultivos Primarios","181","Haba comun y haba caballar secas","1","","071350","071350","01702"
"QC","Cultivos Primarios","181","Haba comun y haba caballar secas","1","","071350","071350","01702"
"1714","Cultivos Primarios","569","Higos","1","","080420","080420","01315"
"QC","Cultivos Primarios","569","Higos","1","","080420","080420","01315"
"1714","Cultivos Primarios","449","Hongos y trufas","1","","070951, 070959","070951, 070959","01270"
"QC","Cultivos Primarios","449","Hongos y trufas","1","","070951, 070959","070951, 070959","01270"
"QC","Cultivos Primarios","1735","Hortaliz Prim Exc Melon","1","","","","F1735"
"1714","Cultivos Primarios","420","Hortalizas leguminosas nep","1","","070890","070890","01243"
"QC","Cultivos Primarios","420","Hortalizas leguminosas nep","1","","070890","070890","01243"
"1714","Cultivos Primarios","463","Hortalizas, frescas nep","1","","070690, 070940, 070990","070690, 070940, 070999","01290.90"
"QC","Cultivos Primarios","463","Hortalizas, frescas nep","1","","070690, 070940, 070990","070690, 070940, 070999","01290.90"
"1714","Cultivos Primarios","720","Jengibre","1","","091010","091011, 091012","01657"
"QC","Cultivos Primarios","720","Jengibre","1","","091010","091011, 091012","01657"
"1714","Cultivos Primarios","423","Jud?as verdes con hilo","1","","070820","070820","01241.01"
"QC","Cultivos Primarios","423","Jud?as verdes con hilo","1","","070820","070820","01241.01"
"1714","Cultivos Primarios","414","Judias, verdes","1","","070820","070820","01241.90"
"QC","Cultivos Primarios","414","Judias, verdes","1","","070820","070820","01241.90"
"1714","Cultivos Primarios","310","Kapok","1","","120799","120799","01499.05"
"QC","Cultivos Primarios","310","Kapok","1","","120799","120799","01499.05"
"1714","Cultivos Primarios","592","Kiwis","1","","081050","081050","01352"
"QC","Cultivos Primarios","592","Kiwis","1","","081050","081050","01352"
"1714","Cultivos Primarios","372","Lechuga y achicoria","1","","070511, 070519, 070521, 070529","070511, 070519, 070521, 070529","01214"
"QC","Cultivos Primarios","372","Lechuga y achicoria","1","","070511, 070519, 070521, 070529","070511, 070519, 070521, 070529","01214"
"1714","Cultivos Primarios","211","Legumbres nep","1","","071390","071390","01709.90"
"QC","Cultivos Primarios","211","Legumbres nep","1","","071390","071390","01709.90"
"QC","Cultivos Primarios","1726","Legumbres Secas, total","1","","","","F1726"
"1714","Cultivos Primarios","201","Lentejas","1","","071340","071340","01704"
"QC","Cultivos Primarios","201","Lentejas","1","","071340","071340","01704"
"1714","Cultivos Primarios","497","Limones y limas","1","","080550","080550","01322"
"QC","Cultivos Primarios","497","Limones y limas","1","","080550","080550","01322"
"1714","Cultivos Primarios","333","Linaza","1","","120400","120400","01441"
"QC","Cultivos Primarios","333","Linaza","1","","120400","120400","01441"
"1714","Cultivos Primarios","773","Lino, fibra y estopa","1","","530121, 530129","530121, 530129","26190.01"
"QC","Cultivos Primarios","773","Lino, fibra y estopa","1","","530121, 530129","530121, 530129","26190.01"
"1714","Cultivos Primarios","677","L?pulo","1","","121010, 121020","121010, 121020","01659"
"QC","Cultivos Primarios","677","L?pulo","1","","121010, 121020","121010, 121020","01659"
"1714","Cultivos Primarios","56","Maiz","1","","100510, 100590","100510, 100590","0112"
"QC","Cultivos Primarios","56","Maiz","1","","100510, 100590","100510, 100590","0112"
"1714","Cultivos Primarios","446","Ma?z verde","1","","070990","070999","01290.01"
"QC","Cultivos Primarios","446","Ma?z verde","1","","070990","070999","01290.01"
"1714","Cultivos Primarios","571","Mangos, mangostanes y guayabas","1","","080450","080450","01316"
"QC","Cultivos Primarios","571","Mangos, mangostanes y guayabas","1","","080450","080450","01316"
"1714","Cultivos Primarios","242","Man?s (cacahuete) con c?scara","1","","120210, 120220","120230, 120241","0142"
"QC","Cultivos Primarios","242","Man?s (cacahuete) con c?scara","1","","120210, 120220","120230, 120241","0142"
"1714","Cultivos Primarios","591","Manzana de acaj?","1","","081090","081090","01359.02"
"QC","Cultivos Primarios","591","Manzana de acaj?","1","","081090","081090","01359.02"
"1714","Cultivos Primarios","515","Manzanas","1","","080810","080810","01341"
"QC","Cultivos Primarios","515","Manzanas","1","","080810","080810","01341"
"1714","Cultivos Primarios","671","Mate","1","","090300","090300","01630"
"QC","Cultivos Primarios","671","Mate","1","","090300","090300","01630"
"1714","Cultivos Primarios","534","Melocotones (duraznos) y nectarinas","1","","080930","080930","01345"
"QC","Cultivos Primarios","534","Melocotones (duraznos) y nectarinas","1","","080930","080930","01345"
"1714","Cultivos Primarios","568","Melones, otros (incl. cantaloupe)","1","","080719","080719","01229"
"QC","Cultivos Primarios","568","Melones, otros (incl. cantaloupe)","1","","080719","080719","01229"
"1714","Cultivos Primarios","523","Membrillos","1","","080820","080840","01342.02"
"QC","Cultivos Primarios","523","Membrillos","1","","080820","080840","01342.02"
"1714","Cultivos Primarios","748","Menta, hierbabuena","1","","121190","121190","01930.01"
"QC","Cultivos Primarios","748","Menta, hierbabuena","1","","121190","121190","01930.01"
"1714","Cultivos Primarios","79","Mijo","1","","100820","100821, 100829","0118"
"QC","Cultivos Primarios","79","Mijo","1","","100820","100821, 100829","0118"
"1714","Cultivos Primarios","137","?ames","1","","071490","071430","01540"
"QC","Cultivos Primarios","137","?ames","1","","071490","071430","01540"
"1714","Cultivos Primarios","490","Naranjas","1","","080510","080510","01323"
"QC","Cultivos Primarios","490","Naranjas","1","","080510","080510","01323"
"QC","Cultivos Primarios","1729","Nueces (Toda Clase), tot","1","","","","F1729"
"1714","Cultivos Primarios","222","Nueces con c?scara","1","","080231","080231","01376"
"QC","Cultivos Primarios","222","Nueces con c?scara","1","","080231","080231","01376"
"1714","Cultivos Primarios","226","Nueces de areca","1","","080290","080280","01379.01"
"QC","Cultivos Primarios","226","Nueces de areca","1","","080290","080280","01379.01"
"1714","Cultivos Primarios","263","Nueces de karit?","1","","120799","120799","01499.01"
"QC","Cultivos Primarios","263","Nueces de karit?","1","","120799","120799","01499.01"
"1714","Cultivos Primarios","275","Nueces de tung","1","","120799","120799","01499.02"
"QC","Cultivos Primarios","275","Nueces de tung","1","","120799","120799","01499.02"
"1714","Cultivos Primarios","216","Nueces del brasil con c?scara","1","","080121","080121","01377"
"QC","Cultivos Primarios","216","Nueces del brasil con c?scara","1","","080121","080121","01377"
"1714","Cultivos Primarios","234","Nueces nep","1","","080260, 080290","080261, 080262, 080290","01379.90"
"QC","Cultivos Primarios","234","Nueces nep","1","","080260, 080290","080261, 080262, 080290","01379.90"
"1714","Cultivos Primarios","249","Nuez de coco","1","","080119","080112, 080119","01460"
"QC","Cultivos Primarios","249","Nuez de coco","1","","080119","080112, 080119","01460"
"1714","Cultivos Primarios","224","Nuez de cola","1","","080290","080270","01379.02"
"QC","Cultivos Primarios","224","Nuez de cola","1","","080290","080270","01379.02"
"1714","Cultivos Primarios","702","Nuez moscada, macis, cardamomo","1","","090810, 090820, 090830","090811, 090812, 090821, 090822, 090831, 090832","01653"
"QC","Cultivos Primarios","702","Nuez moscada, macis, cardamomo","1","","090810, 090820, 090830","090811, 090812, 090821, 090822, 090831, 090832","01653"
"1714","Cultivos Primarios","116","Papas, patatas","1","","070110, 070190","070110, 070190","01510"
"QC","Cultivos Primarios","116","Papas, patatas","1","","070110, 070190","070110, 070190","01510"
"1714","Cultivos Primarios","600","Papayas","1","","080720","080720","01317"
"QC","Cultivos Primarios","600","Papayas","1","","080720","080720","01317"
"1714","Cultivos Primarios","754","Pelitre, flores secas","1","","121190","121190","01930.02"
"QC","Cultivos Primarios","754","Pelitre, flores secas","1","","121190","121190","01930.02"
"1714","Cultivos Primarios","397","Pepinos, pepinillos","1","","070700","070700","01232"
"QC","Cultivos Primarios","397","Pepinos, pepinillos","1","","070700","070700","01232"
"1714","Cultivos Primarios","521","Peras","1","","080820","080830","01342.01"
"QC","Cultivos Primarios","521","Peras","1","","080820","080830","01342.01"
"1714","Cultivos Primarios","687","Pimienta (piper spp.)","1","","090411, 090412","090411, 090412","01651"
"QC","Cultivos Primarios","687","Pimienta (piper spp.)","1","","090411, 090412","090411, 090412","01651"
"1714","Cultivos Primarios","574","Pi?a tropical","1","","080430","080430","01318"
"QC","Cultivos Primarios","574","Pi?a tropical","1","","080430","080430","01318"
"1714","Cultivos Primarios","223","Pistachos","1","","080250","080251, 080252","01375"
"QC","Cultivos Primarios","223","Pistachos","1","","080250","080251, 080252","01375"
"1714","Cultivos Primarios","489","Pl?tanos y otros","1","","080300","080310","01313"
"QC","Cultivos Primarios","489","Pl?tanos y otros","1","","080300","080310","01313"
"1714","Cultivos Primarios","407","Puerros y otras ali?ceas","1","","070390","070390","01254"
"QC","Cultivos Primarios","407","Puerros y otras ali?ceas","1","","070390","070390","01254"
"1714","Cultivos Primarios","92","Quinua","1","","100890","100850","01194"
"QC","Cultivos Primarios","92","Quinua","1","","100890","100850","01194"
"1714","Cultivos Primarios","459","Ra?ces de achicoria","1","","121299","121294","01691"
"QC","Cultivos Primarios","459","Ra?ces de achicoria","1","","121299","121294","01691"
"1714","Cultivos Primarios","149","Raices y tuberculos nep","1","","071490","071490","01599.10"
"QC","Cultivos Primarios","149","Raices y tuberculos nep","1","","071490","071490","01599.10"
"QC","Cultivos Primarios","1720","Ra?ces&Tub?rculos, total","1","","","","F1720"
"1714","Cultivos Primarios","788","Ramio","1","","530500","530500","01929.04"
"QC","Cultivos Primarios","788","Ramio","1","","530500","530500","01929.04"
"1714","Cultivos Primarios","265","Ricino, semillas","1","","120799","120730","01447"
"QC","Cultivos Primarios","265","Ricino, semillas","1","","120799","120730","01447"
"1714","Cultivos Primarios","567","Sand?as","1","","080711","080711","01221"
"QC","Cultivos Primarios","567","Sand?as","1","","080711","080711","01221"
"1714","Cultivos Primarios","296","Semilla de adormidera","1","","120791","120791","01448"
"QC","Cultivos Primarios","296","Semilla de adormidera","1","","120791","120791","01448"
"1714","Cultivos Primarios","280","Semilla de cartamo, alazor","1","","120799","120760","01446"
"QC","Cultivos Primarios","280","Semilla de cartamo, alazor","1","","120799","120760","01446"
"1714","Cultivos Primarios","267","Semilla de girasol","1","","120600","120600","01445"
"QC","Cultivos Primarios","267","Semilla de girasol","1","","120600","120600","01445"
"1714","Cultivos Primarios","299","Semilla de mel?n","1","","120799","120770","01449.01"
"QC","Cultivos Primarios","299","Semilla de mel?n","1","","120799","120770","01449.01"
"1714","Cultivos Primarios","292","Semilla de mostaza","1","","120750","120750","01442"
"QC","Cultivos Primarios","292","Semilla de mostaza","1","","120750","120750","01442"
"1714","Cultivos Primarios","289","Semilla de s?samo, ajonjol?","1","","120740","120740","01444"
"QC","Cultivos Primarios","289","Semilla de s?samo, ajonjol?","1","","120740","120740","01444"
"1714","Cultivos Primarios","277","Semillas de jojoba","1","","120799","120799","01499.03"
"QC","Cultivos Primarios","277","Semillas de jojoba","1","","120799","120799","01499.03"
"1714","Cultivos Primarios","305","Semillas del arbol del sebo","1","","120799","120799","01499.04"
"QC","Cultivos Primarios","305","Semillas del arbol del sebo","1","","120799","120799","01499.04"
"1714","Cultivos Primarios","339","Semillas oleaginosas nep","1","","120799","120799","01449.90"
"QC","Cultivos Primarios","339","Semillas oleaginosas nep","1","","120799","120799","01449.90"
"1714","Cultivos Primarios","789","Sisal","1","","530500","530500","01929.05"
"QC","Cultivos Primarios","789","Sisal","1","","530500","530500","01929.05"
"1714","Cultivos Primarios","236","Soja","1","","120100","120110, 120190","0141"
"QC","Cultivos Primarios","236","Soja","1","","120100","120110, 120190","0141"
"1714","Cultivos Primarios","83","Sorgo","1","","100700","100710, 100790","0114"
"QC","Cultivos Primarios","83","Sorgo","1","","100700","100710, 100790","0114"
"1714","Cultivos Primarios","826","Tabaco bruto","1","","240110, 240120, 240130","240110, 240120, 240130","01970"
"QC","Cultivos Primarios","826","Tabaco bruto","1","","240110, 240120, 240130","240110, 240120, 240130","01970"
"1714","Cultivos Primarios","495","Tangerinas, mandarinas, clementinas, satsumas","1","","080520","080520","01324"
"QC","Cultivos Primarios","495","Tangerinas, mandarinas, clementinas, satsumas","1","","080520","080520","01324"
"1714","Cultivos Primarios","136","Taro (cocoyam)","1","","071490","071440","01550"
"QC","Cultivos Primarios","136","Taro (cocoyam)","1","","071490","071440","01550"
"1714","Cultivos Primarios","667","T?","1","","090210, 090220, 090230, 090240","090210, 090220, 090230, 090240","01620"
"QC","Cultivos Primarios","667","T?","1","","090210, 090220, 090230, 090240","090210, 090220, 090230, 090240","01620"
"1714","Cultivos Primarios","388","Tomates, frescos","1","","070200","070200","01234"
"QC","Cultivos Primarios","388","Tomates, frescos","1","","070200","070200","01234"
"1714","Cultivos Primarios","507","Toronja y pomelo","1","","080540","080540","01321"
"QC","Cultivos Primarios","507","Toronja y pomelo","1","","080540","080540","01321"
"1714","Cultivos Primarios","15","Trigo","1","","100110, 100190","100111, 100119, 100191, 100199","0111"
"QC","Cultivos Primarios","15","Trigo","1","","100110, 100190","100111, 100119, 100191, 100199","0111"
"1714","Cultivos Primarios","89","Trigo sarraceno, alforfon","1","","100810","100810","01192"
"QC","Cultivos Primarios","89","Trigo sarraceno, alforfon","1","","100810","100810","01192"
"1714","Cultivos Primarios","97","Triticale","1","","100890","100860","01191"
"QC","Cultivos Primarios","97","Triticale","1","","100890","100860","01191"
"1714","Cultivos Primarios","549","Uva espina","1","","081090","081030","01351.02"
"QC","Cultivos Primarios","549","Uva espina","1","","081090","081030","01351.02"
"1714","Cultivos Primarios","560","Uvas","1","","080610","080610","01330"
"QC","Cultivos Primarios","560","Uvas","1","","080610","080610","01330"
"1714","Cultivos Primarios","692","Vainilla","1","","090500","090510, 090520","01658"
"QC","Cultivos Primarios","692","Vainilla","1","","090500","090510, 090520","01658"
"1714","Cultivos Primarios","205","Veza","1","","121490","121490","01709.01"
"QC","Cultivos Primarios","205","Veza","1","","121490","121490","01709.01"
"1714","Cultivos Primarios","135","Yautia (cocoyam)","1","","071490","071450","01591"
"QC","Cultivos Primarios","135","Yautia (cocoyam)","1","","071490","071450","01591"
"1714","Cultivos Primarios","125","Yuca","1","","071410","071410","01520.01"
"QC","Cultivos Primarios","125","Yuca","1","","071410","071410","01520.01"
"QC","Cultivos Primarios","378","Yuca, hojas","1","","070990","070999","01219.01"
"1714","Cultivos Primarios","780","Yute","1","","530310, 530390","530310, 530390","01922.01"
"QC","Cultivos Primarios","780","Yute","1","","530310, 530390","530310, 530390","01922.01"
"1714","Cultivos Primarios","426","Zanahorias y nabos","1","","070610","070610","01251"
"QC","Cultivos Primarios","426","Zanahorias y nabos","1","","070610","070610","01251"
"1738","Frutas Primaria","572","Aguacates","1","","080440","080440","01311"
"1738","Frutas Primaria","526","Albaricoques","1","","080910","080910","01343"
"1738","Frutas Primaria","461","Algarrobas","1","","121299","121292","01356"
"1738","Frutas Primaria","552","Ar?ndanos","1","","081040","081040","01355.01"
"1738","Frutas Primaria","554","Ar?ndanos trepadores","1","","081040","081040","01355.02"
"1738","Frutas Primaria","486","Bananos","1","","080300","080390","01312"
"1738","Frutas Primaria","558","Bayas nep","1","","081020, 081040","081020, 081040","01355.90"
"1738","Frutas Primaria","587","Caquis","1","","081090","081070","01359.01"
"1738","Frutas Primaria","531","Cerezas","1","","080920","080929","01344.02"
"1738","Frutas Primaria","536","Ciruelas y endrinas","1","","080940","080940","01346"
"1738","Frutas Primaria","577","D?tiles","1","","080410","080410","01314"
"1738","Frutas Primaria","547","Frambuesas","1","","081020","081020","01353.01"
"1738","Frutas Primaria","544","Fresas","1","","081010","081010","01354"
"1738","Frutas Primaria","512","Fruta citrica nep","1","","080590","080590","01329"
"1738","Frutas Primaria","541","Fruta, drupas nep","1","","081090","081090","01349.20"
"1738","Frutas Primaria","619","Fruta, fresca nep","1","","081090","081090","01359.90"
"1738","Frutas Primaria","603","Fruta, tropical (fresca) nep","1","","080450, 081060, 081090","080450, 081060, 081090","01319"
"1738","Frutas Primaria","542","Frutas, pom?ceas nep","1","","081090","081090","01349.10"
"1738","Frutas Primaria","550","Grosellas","1","","081090","081030","01351.01"
"1738","Frutas Primaria","530","Guindas","1","","080920","080921","01344.01"
"1738","Frutas Primaria","569","Higos","1","","080420","080420","01315"
"1738","Frutas Primaria","592","Kiwis","1","","081050","081050","01352"
"1738","Frutas Primaria","497","Limones y limas","1","","080550","080550","01322"
"1738","Frutas Primaria","571","Mangos, mangostanes y guayabas","1","","080450","080450","01316"
"1738","Frutas Primaria","591","Manzana de acaj?","1","","081090","081090","01359.02"
"1738","Frutas Primaria","515","Manzanas","1","","080810","080810","01341"
"1738","Frutas Primaria","534","Melocotones (duraznos) y nectarinas","1","","080930","080930","01345"
"1738","Frutas Primaria","568","Melones, otros (incl. cantaloupe)","1","","080719","080719","01229"
"1738","Frutas Primaria","523","Membrillos","1","","080820","080840","01342.02"
"1738","Frutas Primaria","490","Naranjas","1","","080510","080510","01323"
"1738","Frutas Primaria","600","Papayas","1","","080720","080720","01317"
"1738","Frutas Primaria","521","Peras","1","","080820","080830","01342.01"
"1738","Frutas Primaria","574","Pi?a tropical","1","","080430","080430","01318"
"1738","Frutas Primaria","489","Pl?tanos y otros","1","","080300","080310","01313"
"1738","Frutas Primaria","567","Sand?as","1","","080711","080711","01221"
"1738","Frutas Primaria","495","Tangerinas, mandarinas, clementinas, satsumas","1","","080520","080520","01324"
"1738","Frutas Primaria","507","Toronja y pomelo","1","","080540","080540","01321"
"1738","Frutas Primaria","549","Uva espina","1","","081090","081030","01351.02"
"1738","Frutas Primaria","560","Uvas","1","","080610","080610","01330"
"QL","Ganader?a primaria","1185","Capullos devanables","1","","500100","500100","02944"
"QL","Ganader?a primaria","1176","Caracoles distintos de los de mar","1","","030760","030760","02920"
"QL","Ganader?a primaria","1808","Carne de Aves de Corral","1","","","","F1808"
"QL","Ganader?a primaria","1166","Carne nep","1","","020830, 020840, 020850, 020890","020830, 020840, 020850, 020890","21170.92"
"QL","Ganader?a primaria","1807","Carne Ovina y de Cabra","1","","","","F1807"
"QL","Ganader?a primaria","1806","Carne Vacuna y de B?falo","1","","","","F1806"
"QL","Ganader?a primaria","1108","Carne, asno","1","","020500","020500","21118.02"
"QL","Ganader?a primaria","947","Carne, b?falo","1","","020110, 020120, 020130, 020210, 020220, 020230","020110, 020120, 020130, 020210, 020220, 020230","21112"
"QL","Ganader?a primaria","1097","Carne, caballo","1","","020500","020500","21118.01"
"QL","Ganader?a primaria","1127","Carne, camello","1","","020890","020860","21117.01"
"QL","Ganader?a primaria","1017","Carne, caprino","1","","020450","020450","21116"
"QL","Ganader?a primaria","1163","Carne, caza","1","","020890","020890","21170.02"
"QL","Ganader?a primaria","1035","Carne, cerdo","1","","020311, 020312, 020319, 020321, 020322, 020329","020311, 020312, 020319, 020321, 020322, 020329","21113.01"
"QL","Ganader?a primaria","1141","Carne, conejo","1","","020810","020810","21114"
"QL","Ganader?a primaria","867","Carne, ganado vacuno","1","","020110, 020120, 020210, 020220","020110, 020120, 020210, 020220","21111.01"
"QL","Ganader?a primaria","1073","Carne, ganso, gallina pintada","1","","020732, 020733, 020735, 020736","020751, 020752, 020754, 020755","21123"
"QL","Ganader?a primaria","1111","Carne, mula","1","","020500","020500","21118.03"
"QL","Ganader?a primaria","1158","Carne, otros cam?lidos","1","","020890","020860","21117.02"
"QL","Ganader?a primaria","1151","Carne, otros roedores","1","","020890","020890","21119.01"
"QL","Ganader?a primaria","977","Carne, ovino","1","","020410, 020421, 020422, 020423, 020430, 020441, 020442, 020443","020410, 020421, 020422, 020423, 020430, 020441, 020442, 020443","21115"
"QL","Ganader?a primaria","1089","Carne, paloma y otras aves nep","1","","020890","020890","21170.01"
"QL","Ganader?a primaria","1069","Carne, pato","1","","020732, 020733, 020735, 020736","020741, 020742, 020744, 020745","21122"
"QL","Ganader?a primaria","1080","Carne, pavo","1","","020724, 020725, 020726, 020727","020724, 020725, 020726, 020727","21124"
"QL","Ganader?a primaria","1058","Carne, pollo","1","","020711, 020712, 020713, 020714, 020732, 020733, 020735, 020736","020711, 020712, 020713, 020714, 020760","21121"
"QL","Ganader?a primaria","1765","Carne, total","1","","","","F1765"
"QL","Ganader?a primaria","1183","Cera de abeja","1","","152190","152190","02960.01"
"QL","Ganader?a primaria","957","Cueros, bufalo frescos","1","","410120, 410150, 410190","410120, 410150, 410190","02951.03"
"QL","Ganader?a primaria","919","Cueros, vacuno, frescos","1","","410120, 410150, 410190","410120, 410150, 410190","02951.01"
"QL","Ganader?a primaria","1098","Despojos, caballo","1","","020680, 020690","020680, 020690","21159.01"
"QL","Ganader?a primaria","948","Despojos, comestibles, b?falo","1","","020610, 020621, 020622, 020629, 050400","020610, 020621, 020622, 020629, 050400","21152"
"QL","Ganader?a primaria","1128","Despojos, comestibles, camello","1","","020890","020860","21159.02"
"QL","Ganader?a primaria","1018","Despojos, comestibles, caprino","1","","020680, 020690, 050400","020680, 020690, 050400","21156"
"QL","Ganader?a primaria","1036","Despojos, comestibles, cerdo","1","","020630, 020641, 020649, 050400","020630, 020641, 020649, 050400","21153"
"QL","Ganader?a primaria","978","Despojos, comestibles, ovino","1","","020680, 020690, 050400","020680, 020690, 050400","21155"
"QL","Ganader?a primaria","868","Despojos, comestibles, vacuno","1","","020610, 020621, 020622, 020629, 050400","020610, 020621, 020622, 020629, 050400","21151"
"QL","Ganader?a primaria","949","Grasa de b?falo","1","","150200","150290","21513"
"QL","Ganader?a primaria","1129","Grasa de camello","1","","150600","150600","21519.02"
"QL","Ganader?a primaria","1019","Grasa de caprino","1","","150200","150290","21515"
"QL","Ganader?a primaria","1037","Grasa de cerdo","1","","020900","020910","21511.01"
"QL","Ganader?a primaria","869","Grasa de ganado vacuno","1","","150200","150290","21512"
"QL","Ganader?a primaria","979","Grasa de ovino","1","","150200","150290","21514"
"QL","Ganader?a primaria","1062","Huevos de gallina","1","","040700","040711, 040721, 040790","0231"
"QL","Ganader?a primaria","1783","Huevos Naturales","1","","","","F1783"
"QL","Ganader?a primaria","1091","Huevos, otras aves","1","","040700","040719, 040729, 040790","0232"
"QL","Ganader?a primaria","987","Lana grasa","1","","510111, 510119","510111, 510119","02941"
"QL","Ganader?a primaria","951","Leche, entera fresca, b?fala","1","","040120, 040130","040120, 040140, 040150","02212"
"QL","Ganader?a primaria","1020","Leche, entera fresca, cabra","1","","040120, 040130","040120, 040140, 040150","02292"
"QL","Ganader?a primaria","1130","Leche, entera fresca, camella","1","","040120, 040130","040120, 040140, 040150","02293"
"QL","Ganader?a primaria","982","Leche, entera fresca, oveja","1","","040120, 040130","040120, 040140, 040150","02291"
"QL","Ganader?a primaria","882","Leche, entera fresca, vaca","1","","040120, 040130","040120, 040140, 040150","02211"
"QL","Ganader?a primaria","1780","Leche, total","1","","","","F1780"
"QL","Ganader?a primaria","1182","Miel natural","1","","040900","040900","02910"
"QL","Ganader?a primaria","1083","Palomas y otras aves","1","","010631, 010632, 010639","010631, 010632, 010639","02194"
"QL","Ganader?a primaria","1025","Pieles, caprino, frescas","1","","410390","410390","02954"
"QL","Ganader?a primaria","995","Pieles, ovino, frescas","1","","410210, 410229","410210, 410229","02953"
"QP","Ganader?a procesada","885","Crema/nata fresca","1","","040120, 040130","040120, 040140, 040150","22120"
"QP","Ganader?a procesada","953","Ghee, leche de b?fala","1","","040590","040590","22242.02"
"QP","Ganader?a procesada","887","Ghee, leche de vaca","1","","040590","040590","22241.02"
"QP","Ganader?a procesada","1809","Leche Desnat&Suero,Secas","1","","","","F1809"
"QP","Ganader?a procesada","1816","Leche Evapor&Condensada","1","","","","F1816"
"QP","Ganader?a procesada","896","Leche, desnatada condensada","1","","040299","040299","22222.02"
"QP","Ganader?a procesada","888","Leche, desnatada de vaca","1","","040110, 040120","040110, 040120","22110.02"
"QP","Ganader?a procesada","898","Leche, desnatada de vaca en polvo","1","","040210","040210","22212"
"QP","Ganader?a procesada","895","Leche, desnatada evaporada","1","","040291","040291","22221.02"
"QP","Ganader?a procesada","889","Leche, entera condensada","1","","040299","040299","22222.01"
"QP","Ganader?a procesada","897","Leche, entera de vaca en polvo","1","","040221, 040229","040221, 040229","22211"
"QP","Ganader?a procesada","894","Leche, entera evaporada","1","","040291","040291","22221.01"
"QP","Ganader?a procesada","899","Leche, suero de mantequilla en polvo","1","","040390","040390","22230.04"
"QP","Ganader?a procesada","1043","Manteca de cerdo","1","","150100","150110, 150120","21521"
"QP","Ganader?a procesada","952","Mantequilla de leche de b?fala","1","","040510, 040520","040510, 040520","22242.01"
"QP","Ganader?a procesada","1022","Mantequilla de leche de cabra","1","","040510, 040520, 040590","040510, 040520, 040590","22249.02"
"QP","Ganader?a procesada","886","Mantequilla de leche de vaca","1","","040510, 040520","040510, 040520","22241.01"
"QP","Ganader?a procesada","1811","Mantequilla y Ghee","1","","","","F1811"
"QP","Ganader?a procesada","983","Mantequilla y ghee de leche de oveja","1","","040510, 040520, 040590","040510, 040520, 040590","22249.01"
