Año;Elemento;Código Grupo de Productos;Grupo de Productos;Código Producto;Producto;Valor;Unidad
2002;Producción;1714;Cultivos Primarios;777;Cáñamo, estopa y desechos;4271.0;toneladas
2002;Producción;1714;Cultivos Primarios;777;Cáñamo, estopa y desechos;4271.0;toneladas
2003;Producción;1753;Cultivos Fibras Primaria;777;Cáñamo, estopa y desechos;2152.0;toneladas
2003;Producción;1714;Cultivos Primarios;777;Cáñamo, estopa y desechos;2152.0;toneladas
2003;Producción;1714;Cultivos Primarios;777;Cáñamo, estopa y desechos;2152.0;toneladas
2004;Producción;1753;Cultivos Fibras Primaria;777;Cáñamo, estopa y desechos;2960.0;toneladas
2004;Producción;1714;Cultivos Primarios;777;Cáñamo, estopa y desechos;2960.0;toneladas
2004;Producción;1714;Cultivos Primarios;777;Cáñamo, estopa y desechos;2960.0;toneladas
2005;Producción;1753;Cultivos Fibras Primaria;777;Cáñamo, estopa y desechos;1806.0;toneladas
2005;Producción;1714;Cultivos Primarios;777;Cáñamo, estopa y desechos;1806.0;toneladas
2005;Producción;1714;Cultivos Primarios;777;Cáñamo, estopa y desechos;1806.0;toneladas
2006;Producción;1753;Cultivos Fibras Primaria;777;Cáñamo, estopa y desechos;31.0;toneladas
2006;Producción;1714;Cultivos Primarios;777;Cáñamo, estopa y desechos;31.0;toneladas
2006;Producción;1714;Cultivos Primarios;777;Cáñamo, estopa y desechos;31.0;toneladas
2007;Producción;1753;Cultivos Fibras Primaria;777;Cáñamo, estopa y desechos;22.0;toneladas
2007;Producción;1714;Cultivos Primarios;777;Cáñamo, estopa y desechos;22.0;toneladas
2007;Producción;1714;Cultivos Primarios;777;Cáñamo, estopa y desechos;22.0;toneladas
2008;Producción;1753;Cultivos Fibras Primaria;777;Cáñamo, estopa y desechos;22.0;toneladas
2008;Producción;1714;Cultivos Primarios;777;Cáñamo, estopa y desechos;22.0;toneladas
2008;Producción;1714;Cultivos Primarios;777;Cáñamo, estopa y desechos;22.0;toneladas
2009;Producción;1753;Cultivos Fibras Primaria;777;Cáñamo, estopa y desechos;22.0;toneladas
2009;Producción;1714;Cultivos Primarios;777;Cáñamo, estopa y desechos;22.0;toneladas
2009;Producción;1714;Cultivos Primarios;777;Cáñamo, estopa y desechos;22.0;toneladas
2010;Producción;1753;Cultivos Fibras Primaria;777;Cáñamo, estopa y desechos;1.0;toneladas
2010;Producción;1714;Cultivos Primarios;777;Cáñamo, estopa y desechos;1.0;toneladas
2010;Producción;1714;Cultivos Primarios;777;Cáñamo, estopa y desechos;1.0;toneladas
2011;Producción;1753;Cultivos Fibras Primaria;777;Cáñamo, estopa y desechos;1.0;toneladas
2011;Producción;1714;Cultivos Primarios;777;Cáñamo, estopa y desechos;1.0;toneladas
2011;Producción;1714;Cultivos Primarios;777;Cáñamo, estopa y desechos;1.0;toneladas
2012;Producción;1753;Cultivos Fibras Primaria;777;Cáñamo, estopa y desechos;1.0;toneladas
2012;Producción;1714;Cultivos Primarios;777;Cáñamo, estopa y desechos;1.0;toneladas
2012;Producción;1714;Cultivos Primarios;777;Cáñamo, estopa y desechos;1.0;toneladas
2013;Producción;1753;Cultivos Fibras Primaria;777;Cáñamo, estopa y desechos;12.0;toneladas
2013;Producción;1714;Cultivos Primarios;777;Cáñamo, estopa y desechos;12.0;toneladas
2013;Producción;1714;Cultivos Primarios;777;Cáñamo, estopa y desechos;12.0;toneladas
2014;Producción;1753;Cultivos Fibras Primaria;777;Cáñamo, estopa y desechos;70.0;toneladas
2014;Producción;1714;Cultivos Primarios;777;Cáñamo, estopa y desechos;70.0;toneladas
2014;Producción;1714;Cultivos Primarios;777;Cáñamo, estopa y desechos;70.0;toneladas
2015;Producción;1753;Cultivos Fibras Primaria;777;Cáñamo, estopa y desechos;123.0;toneladas
2015;Producción;1714;Cultivos Primarios;777;Cáñamo, estopa y desechos;123.0;toneladas
2015;Producción;1714;Cultivos Primarios;777;Cáñamo, estopa y desechos;123.0;toneladas
2016;Producción;1753;Cultivos Fibras Primaria;777;Cáñamo, estopa y desechos;365.0;toneladas
2016;Producción;1714;Cultivos Primarios;777;Cáñamo, estopa y desechos;365.0;toneladas
2016;Producción;1714;Cultivos Primarios;777;Cáñamo, estopa y desechos;365.0;toneladas
2017;Producción;1753;Cultivos Fibras Primaria;777;Cáñamo, estopa y desechos;846.0;toneladas
2017;Producción;1714;Cultivos Primarios;777;Cáñamo, estopa y desechos;846.0;toneladas
2017;Producción;1714;Cultivos Primarios;777;Cáñamo, estopa y desechos;846.0;toneladas
2018;Producción;1753;Cultivos Fibras Primaria;777;Cáñamo, estopa y desechos;750.0;toneladas
2018;Producción;1714;Cultivos Primarios;777;Cáñamo, estopa y desechos;750.0;toneladas
2018;Producción;1714;Cultivos Primarios;777;Cáñamo, estopa y desechos;750.0;toneladas
2000;Existencias;1756;Animales Vivos;1016;Caprinos;2627000.0;Cabeza
2000;Existencias;1756;Animales Vivos;1016;Caprinos;2627000.0;Cabeza
2000;Existencias;1749;Ovejas y cabras;1016;Caprinos;2627000.0;Cabeza
2001;Existencias;1756;Animales Vivos;1016;Caprinos;2875659.0;Cabeza
2001;Existencias;1756;Animales Vivos;1016;Caprinos;2875659.0;Cabeza
2001;Existencias;1749;Ovejas y cabras;1016;Caprinos;2875659.0;Cabeza
2002;Existencias;1756;Animales Vivos;1016;Caprinos;3046716.0;Cabeza
2002;Existencias;1756;Animales Vivos;1016;Caprinos;3046716.0;Cabeza
2002;Existencias;1749;Ovejas y cabras;1016;Caprinos;3046716.0;Cabeza
2003;Existencias;1756;Animales Vivos;1016;Caprinos;3163804.0;Cabeza
2003;Existencias;1756;Animales Vivos;1016;Caprinos;3163804.0;Cabeza
2003;Existencias;1749;Ovejas y cabras;1016;Caprinos;3163804.0;Cabeza
2004;Existencias;1756;Animales Vivos;1016;Caprinos;2833221.0;Cabeza
2004;Existencias;1756;Animales Vivos;1016;Caprinos;2833221.0;Cabeza
2004;Existencias;1749;Ovejas y cabras;1016;Caprinos;2833221.0;Cabeza
2005;Existencias;1756;Animales Vivos;1016;Caprinos;2904690.0;Cabeza
2005;Existencias;1756;Animales Vivos;1016;Caprinos;2904690.0;Cabeza
2005;Existencias;1749;Ovejas y cabras;1016;Caprinos;2904690.0;Cabeza
2006;Existencias;1756;Animales Vivos;1016;Caprinos;2956729.0;Cabeza
2006;Existencias;1756;Animales Vivos;1016;Caprinos;2956729.0;Cabeza
2006;Existencias;1749;Ovejas y cabras;1016;Caprinos;2956729.0;Cabeza
2007;Existencias;1756;Animales Vivos;1016;Caprinos;2891574.0;Cabeza
2007;Existencias;1756;Animales Vivos;1016;Caprinos;2891574.0;Cabeza
2007;Existencias;1749;Ovejas y cabras;1016;Caprinos;2891574.0;Cabeza
2008;Existencias;1756;Animales Vivos;1016;Caprinos;2959300.0;Cabeza
2008;Existencias;1756;Animales Vivos;1016;Caprinos;2959300.0;Cabeza
2008;Existencias;1749;Ovejas y cabras;1016;Caprinos;2959300.0;Cabeza
2009;Existencias;1756;Animales Vivos;1016;Caprinos;2933782.0;Cabeza
2009;Existencias;1756;Animales Vivos;1016;Caprinos;2933782.0;Cabeza
2009;Existencias;1749;Ovejas y cabras;1016;Caprinos;2933782.0;Cabeza
2010;Existencias;1756;Animales Vivos;1016;Caprinos;2903779.0;Cabeza
2010;Existencias;1756;Animales Vivos;1016;Caprinos;2903779.0;Cabeza
2010;Existencias;1749;Ovejas y cabras;1016;Caprinos;2903779.0;Cabeza
2011;Existencias;1756;Animales Vivos;1016;Caprinos;2692898.0;Cabeza
2011;Existencias;1756;Animales Vivos;1016;Caprinos;2692898.0;Cabeza
2011;Existencias;1749;Ovejas y cabras;1016;Caprinos;2692898.0;Cabeza
2012;Existencias;1756;Animales Vivos;1016;Caprinos;2637340.0;Cabeza
2012;Existencias;1756;Animales Vivos;1016;Caprinos;2637340.0;Cabeza
2012;Existencias;1749;Ovejas y cabras;1016;Caprinos;2637340.0;Cabeza
2013;Existencias;1756;Animales Vivos;1016;Caprinos;2609990.0;Cabeza
2013;Existencias;1756;Animales Vivos;1016;Caprinos;2609990.0;Cabeza
2013;Existencias;1749;Ovejas y cabras;1016;Caprinos;2609990.0;Cabeza
2014;Existencias;1756;Animales Vivos;1016;Caprinos;2704250.0;Cabeza
2014;Existencias;1756;Animales Vivos;1016;Caprinos;2704250.0;Cabeza
2014;Existencias;1749;Ovejas y cabras;1016;Caprinos;2704250.0;Cabeza
2015;Existencias;1756;Animales Vivos;1016;Caprinos;3009582.0;Cabeza
2015;Existencias;1756;Animales Vivos;1016;Caprinos;3009582.0;Cabeza
2015;Existencias;1749;Ovejas y cabras;1016;Caprinos;3009582.0;Cabeza
2016;Existencias;1756;Animales Vivos;1016;Caprinos;3088035.0;Cabeza
2016;Existencias;1756;Animales Vivos;1016;Caprinos;3088035.0;Cabeza
2016;Existencias;1749;Ovejas y cabras;1016;Caprinos;3088035.0;Cabeza
2017;Existencias;1756;Animales Vivos;1016;Caprinos;3059731.0;Cabeza
2017;Existencias;1756;Animales Vivos;1016;Caprinos;3059731.0;Cabeza
2017;Existencias;1749;Ovejas y cabras;1016;Caprinos;3059731.0;Cabeza
2018;Existencias;1756;Animales Vivos;1016;Caprinos;2764790.0;Cabeza
2018;Existencias;1756;Animales Vivos;1016;Caprinos;2764790.0;Cabeza
2018;Existencias;1749;Ovejas y cabras;1016;Caprinos;2764790.0;Cabeza
2000;Producción;1714;Cultivos Primarios;587;Caquis;33000.0;toneladas
2000;Producción;1714;Cultivos Primarios;587;Caquis;33000.0;toneladas
2000;Producción;1738;Frutas Primaria;587;Caquis;33000.0;toneladas
2001;Producción;1714;Cultivos Primarios;587;Caquis;34500.0;toneladas
2001;Producción;1714;Cultivos Primarios;587;Caquis;34500.0;toneladas
2001;Producción;1738;Frutas Primaria;587;Caquis;34500.0;toneladas
2002;Producción;1714;Cultivos Primarios;587;Caquis;36050.0;toneladas
2002;Producción;1714;Cultivos Primarios;587;Caquis;36050.0;toneladas
2002;Producción;1738;Frutas Primaria;587;Caquis;36050.0;toneladas
2003;Producción;1714;Cultivos Primarios;587;Caquis;45200.0;toneladas
2003;Producción;1714;Cultivos Primarios;587;Caquis;45200.0;toneladas
2003;Producción;1738;Frutas Primaria;587;Caquis;45200.0;toneladas
2004;Producción;1714;Cultivos Primarios;587;Caquis;45800.0;toneladas
2004;Producción;1714;Cultivos Primarios;587;Caquis;45800.0;toneladas
2004;Producción;1738;Frutas Primaria;587;Caquis;45800.0;toneladas
2005;Producción;1714;Cultivos Primarios;587;Caquis;51950.0;toneladas
2005;Producción;1714;Cultivos Primarios;587;Caquis;51950.0;toneladas
2005;Producción;1738;Frutas Primaria;587;Caquis;51950.0;toneladas
2006;Producción;1714;Cultivos Primarios;587;Caquis;63000.0;toneladas
2006;Producción;1714;Cultivos Primarios;587;Caquis;63000.0;toneladas
2006;Producción;1738;Frutas Primaria;587;Caquis;63000.0;toneladas
2007;Producción;1714;Cultivos Primarios;587;Caquis;67000.0;toneladas
2007;Producción;1714;Cultivos Primarios;587;Caquis;67000.0;toneladas
2007;Producción;1738;Frutas Primaria;587;Caquis;67000.0;toneladas
2008;Producción;1714;Cultivos Primarios;587;Caquis;95400.0;toneladas
2008;Producción;1714;Cultivos Primarios;587;Caquis;95400.0;toneladas
2008;Producción;1738;Frutas Primaria;587;Caquis;95400.0;toneladas
2009;Producción;1714;Cultivos Primarios;587;Caquis;100200.0;toneladas
2009;Producción;1714;Cultivos Primarios;587;Caquis;100200.0;toneladas
2009;Producción;1738;Frutas Primaria;587;Caquis;100200.0;toneladas
2010;Producción;1714;Cultivos Primarios;587;Caquis;125280.0;toneladas
2010;Producción;1714;Cultivos Primarios;587;Caquis;125280.0;toneladas
2010;Producción;1738;Frutas Primaria;587;Caquis;125280.0;toneladas
2011;Producción;1714;Cultivos Primarios;587;Caquis;159400.0;toneladas
2011;Producción;1714;Cultivos Primarios;587;Caquis;159400.0;toneladas
2011;Producción;1738;Frutas Primaria;587;Caquis;159400.0;toneladas
2012;Producción;1714;Cultivos Primarios;587;Caquis;212300.0;toneladas
2012;Producción;1714;Cultivos Primarios;587;Caquis;212300.0;toneladas
2012;Producción;1738;Frutas Primaria;587;Caquis;212300.0;toneladas
2013;Producción;1714;Cultivos Primarios;587;Caquis;242800.0;toneladas
2013;Producción;1714;Cultivos Primarios;587;Caquis;242800.0;toneladas
2013;Producción;1738;Frutas Primaria;587;Caquis;242800.0;toneladas
2014;Producción;1714;Cultivos Primarios;587;Caquis;245000.0;toneladas
2014;Producción;1714;Cultivos Primarios;587;Caquis;245000.0;toneladas
2014;Producción;1738;Frutas Primaria;587;Caquis;245000.0;toneladas
2015;Producción;1714;Cultivos Primarios;587;Caquis;268764.0;toneladas
2015;Producción;1714;Cultivos Primarios;587;Caquis;268764.0;toneladas
2015;Producción;1738;Frutas Primaria;587;Caquis;268764.0;toneladas
2016;Producción;1714;Cultivos Primarios;587;Caquis;321247.0;toneladas
2016;Producción;1714;Cultivos Primarios;587;Caquis;321247.0;toneladas
2016;Producción;1738;Frutas Primaria;587;Caquis;321247.0;toneladas
2017;Producción;1714;Cultivos Primarios;587;Caquis;404131.0;toneladas
2017;Producción;1714;Cultivos Primarios;587;Caquis;404131.0;toneladas
2017;Producción;1738;Frutas Primaria;587;Caquis;404131.0;toneladas
2000;Producción;Ganadería primaria;Ganadería primaria;1166;Carne nep;500.0;toneladas
2001;Producción;Ganadería primaria;Ganadería primaria;1166;Carne nep;700.0;toneladas
2002;Producción;Ganadería primaria;Ganadería primaria;1166;Carne nep;100.0;toneladas
2003;Producción;Ganadería primaria;Ganadería primaria;1166;Carne nep;300.0;toneladas
2004;Producción;Ganadería primaria;Ganadería primaria;1166;Carne nep;500.0;toneladas
2005;Producción;Ganadería primaria;Ganadería primaria;1166;Carne nep;300.0;toneladas
2006;Producción;Ganadería primaria;Ganadería primaria;1166;Carne nep;313.0;toneladas
2007;Producción;Ganadería primaria;Ganadería primaria;1166;Carne nep;400.0;toneladas
2008;Producción;Ganadería primaria;Ganadería primaria;1166;Carne nep;1600.0;toneladas
2009;Producción;Ganadería primaria;Ganadería primaria;1166;Carne nep;1800.0;toneladas
2010;Producción;Ganadería primaria;Ganadería primaria;1166;Carne nep;1800.0;toneladas
2011;Producción;Ganadería primaria;Ganadería primaria;1166;Carne nep;2000.0;toneladas
2012;Producción;Ganadería primaria;Ganadería primaria;1166;Carne nep;2000.0;toneladas
2013;Producción;Ganadería primaria;Ganadería primaria;1166;Carne nep;2000.0;toneladas
2014;Producción;Ganadería primaria;Ganadería primaria;1166;Carne nep;2036.0;toneladas
2015;Producción;Ganadería primaria;Ganadería primaria;1166;Carne nep;2280.0;toneladas
2016;Producción;Ganadería primaria;Ganadería primaria;1166;Carne nep;2403.0;toneladas
2017;Producción;Ganadería primaria;Ganadería primaria;1166;Carne nep;2240.0;toneladas
2000;Producción;Ganadería primaria;Ganadería primaria;1108;Carne, asno;400.0;toneladas
2001;Producción;Ganadería primaria;Ganadería primaria;1108;Carne, asno;409.0;toneladas
2002;Producción;Ganadería primaria;Ganadería primaria;1108;Carne, asno;420.0;toneladas
2003;Producción;Ganadería primaria;Ganadería primaria;1108;Carne, asno;422.0;toneladas
2004;Producción;Ganadería primaria;Ganadería primaria;1108;Carne, asno;423.0;toneladas
2005;Producción;Ganadería primaria;Ganadería primaria;1108;Carne, asno;424.0;toneladas
2006;Producción;Ganadería primaria;Ganadería primaria;1108;Carne, asno;423.0;toneladas
2007;Producción;Ganadería primaria;Ganadería primaria;1108;Carne, asno;423.0;toneladas
2008;Producción;Ganadería primaria;Ganadería primaria;1108;Carne, asno;423.0;toneladas
2009;Producción;Ganadería primaria;Ganadería primaria;1108;Carne, asno;422.0;toneladas
2010;Producción;Ganadería primaria;Ganadería primaria;1108;Carne, asno;430.0;toneladas
2011;Producción;Ganadería primaria;Ganadería primaria;1108;Carne, asno;430.0;toneladas
2012;Producción;Ganadería primaria;Ganadería primaria;1108;Carne, asno;430.0;toneladas
2013;Producción;Ganadería primaria;Ganadería primaria;1108;Carne, asno;430.0;toneladas
2014;Producción;Ganadería primaria;Ganadería primaria;1108;Carne, asno;430.0;toneladas
2015;Producción;Ganadería primaria;Ganadería primaria;1108;Carne, asno;424.0;toneladas
2016;Producción;Ganadería primaria;Ganadería primaria;1108;Carne, asno;427.0;toneladas
2017;Producción;Ganadería primaria;Ganadería primaria;1108;Carne, asno;427.0;toneladas
2000;Animales en producción/Sacrificados;Ganadería primaria;Ganadería primaria;1108;Carne, asno;3000.0;Cabeza
2001;Animales en producción/Sacrificados;Ganadería primaria;Ganadería primaria;1108;Carne, asno;3000.0;Cabeza
2002;Animales en producción/Sacrificados;Ganadería primaria;Ganadería primaria;1108;Carne, asno;3000.0;Cabeza
2003;Animales en producción/Sacrificados;Ganadería primaria;Ganadería primaria;1108;Carne, asno;3000.0;Cabeza
2004;Animales en producción/Sacrificados;Ganadería primaria;Ganadería primaria;1108;Carne, asno;3000.0;Cabeza
2005;Animales en producción/Sacrificados;Ganadería primaria;Ganadería primaria;1108;Carne, asno;3000.0;Cabeza
2006;Animales en producción/Sacrificados;Ganadería primaria;Ganadería primaria;1108;Carne, asno;3000.0;Cabeza
2007;Animales en producción/Sacrificados;Ganadería primaria;Ganadería primaria;1108;Carne, asno;3000.0;Cabeza
2008;Animales en producción/Sacrificados;Ganadería primaria;Ganadería primaria;1108;Carne, asno;3000.0;Cabeza
2009;Animales en producción/Sacrificados;Ganadería primaria;Ganadería primaria;1108;Carne, asno;3000.0;Cabeza
2010;Animales en producción/Sacrificados;Ganadería primaria;Ganadería primaria;1108;Carne, asno;3000.0;Cabeza
2011;Animales en producción/Sacrificados;Ganadería primaria;Ganadería primaria;1108;Carne, asno;3000.0;Cabeza
2012;Animales en producción/Sacrificados;Ganadería primaria;Ganadería primaria;1108;Carne, asno;3000.0;Cabeza
2013;Animales en producción/Sacrificados;Ganadería primaria;Ganadería primaria;1108;Carne, asno;3000.0;Cabeza
2014;Animales en producción/Sacrificados;Ganadería primaria;Ganadería primaria;1108;Carne, asno;3000.0;Cabeza
2015;Animales en producción/Sacrificados;Ganadería primaria;Ganadería primaria;1108;Carne, asno;2964.0;Cabeza
2016;Animales en producción/Sacrificados;Ganadería primaria;Ganadería primaria;1108;Carne, asno;2997.0;Cabeza
2017;Animales en producción/Sacrificados;Ganadería primaria;Ganadería primaria;1108;Carne, asno;3000.0;Cabeza
2000;Producción;Ganadería primaria;Ganadería primaria;1097;Carne, caballo;6525.0;toneladas
2001;Producción;Ganadería primaria;Ganadería primaria;1097;Carne, caballo;7004.0;toneladas
2002;Producción;Ganadería primaria;Ganadería primaria;1097;Carne, caballo;5747.0;toneladas
2003;Producción;Ganadería primaria;Ganadería primaria;1097;Carne, caballo;4777.0;toneladas
2004;Producción;Ganadería primaria;Ganadería primaria;1097;Carne, caballo;5001.0;toneladas
2005;Producción;Ganadería primaria;Ganadería primaria;1097;Carne, caballo;4711.0;toneladas
2006;Producción;Ganadería primaria;Ganadería primaria;1097;Carne, caballo;4974.0;toneladas
2007;Producción;Ganadería primaria;Ganadería primaria;1097;Carne, caballo;4990.0;toneladas
2008;Producción;Ganadería primaria;Ganadería primaria;1097;Carne, caballo;6303.0;toneladas
2009;Producción;Ganadería primaria;Ganadería primaria;1097;Carne, caballo;6366.0;toneladas
2010;Producción;Ganadería primaria;Ganadería primaria;1097;Carne, caballo;7111.0;toneladas
2011;Producción;Ganadería primaria;Ganadería primaria;1097;Carne, caballo;11265.0;toneladas
2012;Producción;Ganadería primaria;Ganadería primaria;1097;Carne, caballo;15606.0;toneladas
2013;Producción;Ganadería primaria;Ganadería primaria;1097;Carne, caballo;11668.0;toneladas
2014;Producción;Ganadería primaria;Ganadería primaria;1097;Carne, caballo;11530.0;toneladas
2015;Producción;Ganadería primaria;Ganadería primaria;1097;Carne, caballo;12940.0;toneladas
2016;Producción;Ganadería primaria;Ganadería primaria;1097;Carne, caballo;13088.0;toneladas
2017;Producción;Ganadería primaria;Ganadería primaria;1097;Carne, caballo;11034.0;toneladas
2018;Producción;Ganadería primaria;Ganadería primaria;1097;Carne, caballo;10194.0;toneladas
2000;Animales en producción/Sacrificados;Ganadería primaria;Ganadería primaria;1097;Carne, caballo;33614.0;Cabeza
2001;Animales en producción/Sacrificados;Ganadería primaria;Ganadería primaria;1097;Carne, caballo;36828.0;Cabeza
2002;Animales en producción/Sacrificados;Ganadería primaria;Ganadería primaria;1097;Carne, caballo;30415.0;Cabeza
2003;Animales en producción/Sacrificados;Ganadería primaria;Ganadería primaria;1097;Carne, caballo;24096.0;Cabeza
2004;Animales en producción/Sacrificados;Ganadería primaria;Ganadería primaria;1097;Carne, caballo;25481.0;Cabeza
2005;Animales en producción/Sacrificados;Ganadería primaria;Ganadería primaria;1097;Carne, caballo;24929.0;Cabeza
2006;Animales en producción/Sacrificados;Ganadería primaria;Ganadería primaria;1097;Carne, caballo;26100.0;Cabeza
2007;Animales en producción/Sacrificados;Ganadería primaria;Ganadería primaria;1097;Carne, caballo;24900.0;Cabeza
2008;Animales en producción/Sacrificados;Ganadería primaria;Ganadería primaria;1097;Carne, caballo;30563.0;Cabeza
2009;Animales en producción/Sacrificados;Ganadería primaria;Ganadería primaria;1097;Carne, caballo;29757.0;Cabeza
2010;Animales en producción/Sacrificados;Ganadería primaria;Ganadería primaria;1097;Carne, caballo;31237.0;Cabeza
2011;Animales en producción/Sacrificados;Ganadería primaria;Ganadería primaria;1097;Carne, caballo;50024.0;Cabeza
2012;Animales en producción/Sacrificados;Ganadería primaria;Ganadería primaria;1097;Carne, caballo;72582.0;Cabeza
2013;Animales en producción/Sacrificados;Ganadería primaria;Ganadería primaria;1097;Carne, caballo;50954.0;Cabeza
2014;Animales en producción/Sacrificados;Ganadería primaria;Ganadería primaria;1097;Carne, caballo;48100.0;Cabeza
2015;Animales en producción/Sacrificados;Ganadería primaria;Ganadería primaria;1097;Carne, caballo;52908.0;Cabeza
2016;Animales en producción/Sacrificados;Ganadería primaria;Ganadería primaria;1097;Carne, caballo;53968.0;Cabeza
2017;Animales en producción/Sacrificados;Ganadería primaria;Ganadería primaria;1097;Carne, caballo;44501.0;Cabeza
2018;Animales en producción/Sacrificados;Ganadería primaria;Ganadería primaria;1097;Carne, caballo;40986.0;Cabeza
2000;Producción;1807;Carne Ovina y de Cabra;1017;Carne, caprino;16488.0;toneladas
2000;Producción;Ganadería primaria;Ganadería primaria;1017;Carne, caprino;16488.0;toneladas
2001;Producción;1807;Carne Ovina y de Cabra;1017;Carne, caprino;15369.0;toneladas
2001;Producción;Ganadería primaria;Ganadería primaria;1017;Carne, caprino;15369.0;toneladas
2002;Producción;1807;Carne Ovina y de Cabra;1017;Carne, caprino;15072.0;toneladas
2002;Producción;Ganadería primaria;Ganadería primaria;1017;Carne, caprino;15072.0;toneladas
2003;Producción;1807;Carne Ovina y de Cabra;1017;Carne, caprino;14240.0;toneladas
2003;Producción;Ganadería primaria;Ganadería primaria;1017;Carne, caprino;14240.0;toneladas
2004;Producción;1807;Carne Ovina y de Cabra;1017;Carne, caprino;13373.0;toneladas
2004;Producción;Ganadería primaria;Ganadería primaria;1017;Carne, caprino;13373.0;toneladas
2005;Producción;1807;Carne Ovina y de Cabra;1017;Carne, caprino;13622.0;toneladas
2005;Producción;Ganadería primaria;Ganadería primaria;1017;Carne, caprino;13622.0;toneladas
2006;Producción;1807;Carne Ovina y de Cabra;1017;Carne, caprino;11690.0;toneladas
2006;Producción;Ganadería primaria;Ganadería primaria;1017;Carne, caprino;11690.0;toneladas
2007;Producción;1807;Carne Ovina y de Cabra;1017;Carne, caprino;10446.0;toneladas
2007;Producción;Ganadería primaria;Ganadería primaria;1017;Carne, caprino;10446.0;toneladas
2008;Producción;1807;Carne Ovina y de Cabra;1017;Carne, caprino;9253.0;toneladas
2008;Producción;Ganadería primaria;Ganadería primaria;1017;Carne, caprino;9253.0;toneladas
2009;Producción;1807;Carne Ovina y de Cabra;1017;Carne, caprino;8830.0;toneladas
2009;Producción;Ganadería primaria;Ganadería primaria;1017;Carne, caprino;8830.0;toneladas
2010;Producción;1807;Carne Ovina y de Cabra;1017;Carne, caprino;10618.0;toneladas
2010;Producción;Ganadería primaria;Ganadería primaria;1017;Carne, caprino;10618.0;toneladas
2011;Producción;1807;Carne Ovina y de Cabra;1017;Carne, caprino;11142.0;toneladas
2011;Producción;Ganadería primaria;Ganadería primaria;1017;Carne, caprino;11142.0;toneladas
2012;Producción;1807;Carne Ovina y de Cabra;1017;Carne, caprino;9696.0;toneladas
2012;Producción;Ganadería primaria;Ganadería primaria;1017;Carne, caprino;9696.0;toneladas
2013;Producción;1807;Carne Ovina y de Cabra;1017;Carne, caprino;8940.0;toneladas
2013;Producción;Ganadería primaria;Ganadería primaria;1017;Carne, caprino;8940.0;toneladas
2014;Producción;1807;Carne Ovina y de Cabra;1017;Carne, caprino;8622.0;toneladas
2014;Producción;Ganadería primaria;Ganadería primaria;1017;Carne, caprino;8622.0;toneladas
2015;Producción;1807;Carne Ovina y de Cabra;1017;Carne, caprino;9120.0;toneladas
2015;Producción;Ganadería primaria;Ganadería primaria;1017;Carne, caprino;9120.0;toneladas
2016;Producción;1807;Carne Ovina y de Cabra;1017;Carne, caprino;9904.0;toneladas
2016;Producción;Ganadería primaria;Ganadería primaria;1017;Carne, caprino;9904.0;toneladas
2017;Producción;1807;Carne Ovina y de Cabra;1017;Carne, caprino;10713.0;toneladas
2017;Producción;Ganadería primaria;Ganadería primaria;1017;Carne, caprino;10713.0;toneladas
2018;Producción;1807;Carne Ovina y de Cabra;1017;Carne, caprino;10970.0;toneladas
2018;Producción;Ganadería primaria;Ganadería primaria;1017;Carne, caprino;10970.0;toneladas
2000;Animales en producción/Sacrificados;1807;Carne Ovina y de Cabra;1017;Carne, caprino;1951097.0;Cabeza
2000;Animales en producción/Sacrificados;Ganadería primaria;Ganadería primaria;1017;Carne, caprino;1951097.0;Cabeza
2001;Animales en producción/Sacrificados;1807;Carne Ovina y de Cabra;1017;Carne, caprino;1764830.0;Cabeza
2001;Animales en producción/Sacrificados;Ganadería primaria;Ganadería primaria;1017;Carne, caprino;1764830.0;Cabeza
2002;Animales en producción/Sacrificados;1807;Carne Ovina y de Cabra;1017;Carne, caprino;1829730.0;Cabeza
2002;Animales en producción/Sacrificados;Ganadería primaria;Ganadería primaria;1017;Carne, caprino;1829730.0;Cabeza
2003;Animales en producción/Sacrificados;1807;Carne Ovina y de Cabra;1017;Carne, caprino;1684989.0;Cabeza
2003;Animales en producción/Sacrificados;Ganadería primaria;Ganadería primaria;1017;Carne, caprino;1684989.0;Cabeza
2004;Animales en producción/Sacrificados;1807;Carne Ovina y de Cabra;1017;Carne, caprino;1603647.0;Cabeza
2004;Animales en producción/Sacrificados;Ganadería primaria;Ganadería primaria;1017;Carne, caprino;1603647.0;Cabeza
2005;Animales en producción/Sacrificados;1807;Carne Ovina y de Cabra;1017;Carne, caprino;1580549.0;Cabeza
2005;Animales en producción/Sacrificados;Ganadería primaria;Ganadería primaria;1017;Carne, caprino;1580549.0;Cabeza
2006;Animales en producción/Sacrificados;1807;Carne Ovina y de Cabra;1017;Carne, caprino;1517507.0;Cabeza
2006;Animales en producción/Sacrificados;Ganadería primaria;Ganadería primaria;1017;Carne, caprino;1517507.0;Cabeza
2007;Animales en producción/Sacrificados;1807;Carne Ovina y de Cabra;1017;Carne, caprino;1358000.0;Cabeza
2007;Animales en producción/Sacrificados;Ganadería primaria;Ganadería primaria;1017;Carne, caprino;1358000.0;Cabeza
2008;Animales en producción/Sacrificados;1807;Carne Ovina y de Cabra;1017;Carne, caprino;1219934.0;Cabeza
