Año;Elemento;Código Grupo de Productos;Grupo de Productos;Código Producto;Producto;Valor;Unidad
2008;Producción;Cultivos Derivados;Cultivos Derivados;271;Aceite, colza;37300.0;toneladas
2009;Producción;Cultivos Derivados;Cultivos Derivados;271;Aceite, colza;42600.0;toneladas
2010;Producción;Cultivos Derivados;Cultivos Derivados;271;Aceite, colza;45000.0;toneladas
2011;Producción;Cultivos Derivados;Cultivos Derivados;271;Aceite, colza;34500.0;toneladas
2012;Producción;Cultivos Derivados;Cultivos Derivados;271;Aceite, colza;36300.0;toneladas
2013;Producción;Cultivos Derivados;Cultivos Derivados;271;Aceite, colza;36343.0;toneladas
2014;Producción;Cultivos Derivados;Cultivos Derivados;271;Aceite, colza;40922.0;toneladas
2015;Producción;Cultivos Derivados;Cultivos Derivados;271;Aceite, colza;44400.0;toneladas
2016;Producción;Cultivos Derivados;Cultivos Derivados;271;Aceite, colza;51000.0;toneladas
2017;Producción;Cultivos Derivados;Cultivos Derivados;271;Aceite, colza;57500.0;toneladas
2018;Producción;Cultivos Derivados;Cultivos Derivados;271;Aceite, colza;62700.0;toneladas
2000;Producción;Cultivos Derivados;Cultivos Derivados;252;Aceite, copra;31.0;toneladas
2001;Producción;Cultivos Derivados;Cultivos Derivados;252;Aceite, copra;13.0;toneladas
2002;Producción;Cultivos Derivados;Cultivos Derivados;252;Aceite, copra;1.0;toneladas
2003;Producción;Cultivos Derivados;Cultivos Derivados;252;Aceite, copra;0.0;toneladas
2004;Producción;Cultivos Derivados;Cultivos Derivados;252;Aceite, copra;0.0;toneladas
2005;Producción;Cultivos Derivados;Cultivos Derivados;252;Aceite, copra;0.0;toneladas
2006;Producción;Cultivos Derivados;Cultivos Derivados;252;Aceite, copra;0.0;toneladas
2007;Producción;Cultivos Derivados;Cultivos Derivados;252;Aceite, copra;0.0;toneladas
2008;Producción;Cultivos Derivados;Cultivos Derivados;252;Aceite, copra;0.0;toneladas
2009;Producción;Cultivos Derivados;Cultivos Derivados;252;Aceite, copra;0.0;toneladas
2010;Producción;Cultivos Derivados;Cultivos Derivados;252;Aceite, copra;0.0;toneladas
2011;Producción;Cultivos Derivados;Cultivos Derivados;252;Aceite, copra;0.0;toneladas
2012;Producción;Cultivos Derivados;Cultivos Derivados;252;Aceite, copra;0.0;toneladas
2013;Producción;Cultivos Derivados;Cultivos Derivados;252;Aceite, copra;0.0;toneladas
2014;Producción;Cultivos Derivados;Cultivos Derivados;252;Aceite, copra;0.0;toneladas
2015;Producción;Cultivos Derivados;Cultivos Derivados;252;Aceite, copra;0.0;toneladas
2016;Producción;Cultivos Derivados;Cultivos Derivados;252;Aceite, copra;0.0;toneladas
2017;Producción;Cultivos Derivados;Cultivos Derivados;252;Aceite, copra;0.0;toneladas
2000;Producción;Cultivos Derivados;Cultivos Derivados;268;Aceite, girasol;485331.0;toneladas
2001;Producción;Cultivos Derivados;Cultivos Derivados;268;Aceite, girasol;484750.0;toneladas
2002;Producción;Cultivos Derivados;Cultivos Derivados;268;Aceite, girasol;413977.0;toneladas
2003;Producción;Cultivos Derivados;Cultivos Derivados;268;Aceite, girasol;417828.0;toneladas
2004;Producción;Cultivos Derivados;Cultivos Derivados;268;Aceite, girasol;453478.0;toneladas
2005;Producción;Cultivos Derivados;Cultivos Derivados;268;Aceite, girasol;381984.0;toneladas
2006;Producción;Cultivos Derivados;Cultivos Derivados;268;Aceite, girasol;433878.0;toneladas
2007;Producción;Cultivos Derivados;Cultivos Derivados;268;Aceite, girasol;370187.0;toneladas
2008;Producción;Cultivos Derivados;Cultivos Derivados;268;Aceite, girasol;347806.0;toneladas
2009;Producción;Cultivos Derivados;Cultivos Derivados;268;Aceite, girasol;386164.0;toneladas
2010;Producción;Cultivos Derivados;Cultivos Derivados;268;Aceite, girasol;436100.0;toneladas
2011;Producción;Cultivos Derivados;Cultivos Derivados;268;Aceite, girasol;450200.0;toneladas
2012;Producción;Cultivos Derivados;Cultivos Derivados;268;Aceite, girasol;482300.0;toneladas
2013;Producción;Cultivos Derivados;Cultivos Derivados;268;Aceite, girasol;441000.0;toneladas
2014;Producción;Cultivos Derivados;Cultivos Derivados;268;Aceite, girasol;497500.0;toneladas
2015;Producción;Cultivos Derivados;Cultivos Derivados;268;Aceite, girasol;483000.0;toneladas
2016;Producción;Cultivos Derivados;Cultivos Derivados;268;Aceite, girasol;421500.0;toneladas
2017;Producción;Cultivos Derivados;Cultivos Derivados;268;Aceite, girasol;458800.0;toneladas
2018;Producción;Cultivos Derivados;Cultivos Derivados;268;Aceite, girasol;525300.0;toneladas
2000;Producción;Cultivos Derivados;Cultivos Derivados;334;Aceite, linaza;3400.0;toneladas
2001;Producción;Cultivos Derivados;Cultivos Derivados;334;Aceite, linaza;3200.0;toneladas
2002;Producción;Cultivos Derivados;Cultivos Derivados;334;Aceite, linaza;2900.0;toneladas
2003;Producción;Cultivos Derivados;Cultivos Derivados;334;Aceite, linaza;1600.0;toneladas
2004;Producción;Cultivos Derivados;Cultivos Derivados;334;Aceite, linaza;1400.0;toneladas
2005;Producción;Cultivos Derivados;Cultivos Derivados;334;Aceite, linaza;1000.0;toneladas
2006;Producción;Cultivos Derivados;Cultivos Derivados;334;Aceite, linaza;800.0;toneladas
2007;Producción;Cultivos Derivados;Cultivos Derivados;334;Aceite, linaza;800.0;toneladas
2008;Producción;Cultivos Derivados;Cultivos Derivados;334;Aceite, linaza;700.0;toneladas
2009;Producción;Cultivos Derivados;Cultivos Derivados;334;Aceite, linaza;700.0;toneladas
2010;Producción;Cultivos Derivados;Cultivos Derivados;334;Aceite, linaza;1000.0;toneladas
2011;Producción;Cultivos Derivados;Cultivos Derivados;334;Aceite, linaza;1000.0;toneladas
2012;Producción;Cultivos Derivados;Cultivos Derivados;334;Aceite, linaza;1300.0;toneladas
2013;Producción;Cultivos Derivados;Cultivos Derivados;334;Aceite, linaza;1400.0;toneladas
