Código Ámbito;Ámbito;Código área (FAO);Área;Código Elemento;Elemento;Código Producto (FAO);Producto;Código año;Año;Unidad;Valor;Grupo productos
QCL;Cultivos y productos de ganadería;203;España;5510;Producción;281;Aceite, cártamo, alazor;2009;2009;toneladas;725.0;Cultivos y derivados
QCL;Cultivos y productos de ganadería;203;España;5510;Producción;281;Aceite, cártamo, alazor;2010;2010;toneladas;978.0;Cultivos y derivados
QCL;Cultivos y productos de ganadería;203;España;5510;Producción;281;Aceite, cártamo, alazor;2011;2011;toneladas;1744.0;Cultivos y derivados
QCL;Cultivos y productos de ganadería;203;España;5510;Producción;281;Aceite, cártamo, alazor;2012;2012;toneladas;511.0;Cultivos y derivados
QCL;Cultivos y productos de ganadería;203;España;5510;Producción;281;Aceite, cártamo, alazor;2013;2013;toneladas;984.0;Cultivos y derivados
QCL;Cultivos y productos de ganadería;203;España;5510;Producción;281;Aceite, cártamo, alazor;2014;2014;toneladas;1057.0;Cultivos y derivados
QCL;Cultivos y productos de ganadería;203;España;5510;Producción;281;Aceite, cártamo, alazor;2015;2015;toneladas;875.0;Cultivos y derivados
QCL;Cultivos y productos de ganadería;203;España;5510;Producción;281;Aceite, cártamo, alazor;2016;2016;toneladas;1191.0;Cultivos y derivados
QCL;Cultivos y productos de ganadería;203;España;5510;Producción;281;Aceite, cártamo, alazor;2017;2017;toneladas;1367.0;Cultivos y derivados
QCL;Cultivos y productos de ganadería;203;España;5510;Producción;271;Aceite, colza;2000;2000;toneladas;22800.0;Cultivos y derivados
QCL;Cultivos y productos de ganadería;203;España;5510;Producción;271;Aceite, colza;2001;2001;toneladas;17500.0;Cultivos y derivados
QCL;Cultivos y productos de ganadería;203;España;5510;Producción;271;Aceite, colza;2002;2002;toneladas;11100.0;Cultivos y derivados
QCL;Cultivos y productos de ganadería;203;España;5510;Producción;271;Aceite, colza;2003;2003;toneladas;9600.0;Cultivos y derivados
QCL;Cultivos y productos de ganadería;203;España;5510;Producción;271;Aceite, colza;2004;2004;toneladas;19400.0;Cultivos y derivados
QCL;Cultivos y productos de ganadería;203;España;5510;Producción;271;Aceite, colza;2005;2005;toneladas;6300.0;Cultivos y derivados
QCL;Cultivos y productos de ganadería;203;España;5510;Producción;271;Aceite, colza;2006;2006;toneladas;34300.0;Cultivos y derivados
QCL;Cultivos y productos de ganadería;203;España;5510;Producción;271;Aceite, colza;2007;2007;toneladas;28700.0;Cultivos y derivados
QCL;Cultivos y productos de ganadería;203;España;5510;Producción;271;Aceite, colza;2008;2008;toneladas;37300.0;Cultivos y derivados
QCL;Cultivos y productos de ganadería;203;España;5510;Producción;271;Aceite, colza;2009;2009;toneladas;42600.0;Cultivos y derivados
QCL;Cultivos y productos de ganadería;203;España;5510;Producción;271;Aceite, colza;2010;2010;toneladas;45000.0;Cultivos y derivados
QCL;Cultivos y productos de ganadería;203;España;5510;Producción;271;Aceite, colza;2011;2011;toneladas;34500.0;Cultivos y derivados
QCL;Cultivos y productos de ganadería;203;España;5510;Producción;271;Aceite, colza;2012;2012;toneladas;36300.0;Cultivos y derivados
QCL;Cultivos y productos de ganadería;203;España;5510;Producción;271;Aceite, colza;2013;2013;toneladas;36343.0;Cultivos y derivados
QCL;Cultivos y productos de ganadería;203;España;5510;Producción;271;Aceite, colza;2014;2014;toneladas;40922.0;Cultivos y derivados
QCL;Cultivos y productos de ganadería;203;España;5510;Producción;271;Aceite, colza;2015;2015;toneladas;44400.0;Cultivos y derivados
QCL;Cultivos y productos de ganadería;203;España;5510;Producción;271;Aceite, colza;2016;2016;toneladas;51000.0;Cultivos y derivados
QCL;Cultivos y productos de ganadería;203;España;5510;Producción;271;Aceite, colza;2017;2017;toneladas;57500.0;Cultivos y derivados
QCL;Cultivos y productos de ganadería;203;España;5510;Producción;271;Aceite, colza;2018;2018;toneladas;62700.0;Cultivos y derivados
QCL;Cultivos y productos de ganadería;203;España;5510;Producción;252;Aceite, copra;2000;2000;toneladas;31.0;Cultivos y derivados
QCL;Cultivos y productos de ganadería;203;España;5510;Producción;252;Aceite, copra;2001;2001;toneladas;13.0;Cultivos y derivados
QCL;Cultivos y productos de ganadería;203;España;5510;Producción;252;Aceite, copra;2002;2002;toneladas;1.0;Cultivos y derivados
QCL;Cultivos y productos de ganadería;203;España;5510;Producción;252;Aceite, copra;2003;2003;toneladas;0.0;Cultivos y derivados
QCL;Cultivos y productos de ganadería;203;España;5510;Producción;252;Aceite, copra;2004;2004;toneladas;0.0;Cultivos y derivados
QCL;Cultivos y productos de ganadería;203;España;5510;Producción;252;Aceite, copra;2005;2005;toneladas;0.0;Cultivos y derivados
QCL;Cultivos y productos de ganadería;203;España;5510;Producción;252;Aceite, copra;2006;2006;toneladas;0.0;Cultivos y derivados
QCL;Cultivos y productos de ganadería;203;España;5510;Producción;252;Aceite, copra;2007;2007;toneladas;0.0;Cultivos y derivados
QCL;Cultivos y productos de ganadería;203;España;5510;Producción;252;Aceite, copra;2008;2008;toneladas;0.0;Cultivos y derivados
QCL;Cultivos y productos de ganadería;203;España;5510;Producción;252;Aceite, copra;2009;2009;toneladas;0.0;Cultivos y derivados
QCL;Cultivos y productos de ganadería;203;España;5510;Producción;252;Aceite, copra;2010;2010;toneladas;0.0;Cultivos y derivados
QCL;Cultivos y productos de ganadería;203;España;5510;Producción;252;Aceite, copra;2011;2011;toneladas;0.0;Cultivos y derivados
QCL;Cultivos y productos de ganadería;203;España;5510;Producción;252;Aceite, copra;2012;2012;toneladas;0.0;Cultivos y derivados
QCL;Cultivos y productos de ganadería;203;España;5510;Producción;252;Aceite, copra;2013;2013;toneladas;0.0;Cultivos y derivados
QCL;Cultivos y productos de ganadería;203;España;5510;Producción;252;Aceite, copra;2014;2014;toneladas;0.0;Cultivos y derivados
QCL;Cultivos y productos de ganadería;203;España;5510;Producción;252;Aceite, copra;2015;2015;toneladas;0.0;Cultivos y derivados
QCL;Cultivos y productos de ganadería;203;España;5510;Producción;252;Aceite, copra;2016;2016;toneladas;0.0;Cultivos y derivados
QCL;Cultivos y productos de ganadería;203;España;5510;Producción;252;Aceite, copra;2017;2017;toneladas;0.0;Cultivos y derivados
QCL;Cultivos y productos de ganadería;203;España;5510;Producción;268;Aceite, girasol;2000;2000;toneladas;485331.0;Cultivos y derivados
QCL;Cultivos y productos de ganadería;203;España;5510;Producción;268;Aceite, girasol;2001;2001;toneladas;484750.0;Cultivos y derivados
